"Speaker","Gender","Age","BirthYear","LabovHierarchy","AlveolarStatus","VelarStatus","BilabialStatus","LabiodentalStatus","Voicing","OralStopStatus","Nasality","LateralStatus","Frication","Sonority","PlaceOfArticulation","MannerOfArticulation","Syllables","Context","Vowel","FREQcount","Lg10WF","Lg10WF_c","F1_raw","F2_raw","F1","F2"
"M1995","M","Y",1995,2,"not_alveolar","not_velar","not_bilabial","labiodental","voiceless","not_stop","not_nasal","not_lateral","fricative","obstruent","labiodental","fricative","monosyllabic","staff","ae",1632,3.213,0.0580211409395974,833.3032309,1408.905803,667.534,1371.328
"M1995","M","Y",1995,2,"not_alveolar","velar","not_bilabial","not_labiodental","voiceless","stop","not_nasal","not_lateral","not_fricative","obstruent","velar","stop","monosyllabic","stack","ae",311,2.4942,-0.660778859060402,824.6459467,1497.102852,661.713,1446.91
"M1995","M","Y",1995,2,"not_alveolar","not_velar","bilabial","not_labiodental","voiced","stop","nasal","not_lateral","not_fricative","sonorant","bilabial","nasal","monosyllabic","ham","ae",591,2.7723,-0.382678859060403,668.3648491,1640.915133,556.491,1570.031
"M1995","M","Y",1995,2,"not_alveolar","not_velar","bilabial","not_labiodental","voiced","stop","not_nasal","not_lateral","not_fricative","obstruent","bilabial","stop","monosyllabic","lab","ae",2020,3.3056,0.150621140939597,792.3658969,1339.153907,640.016,1311.77
"M1995","M","Y",1995,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiceless","not_stop","not_nasal","not_lateral","fricative","obstruent","alveolar","fricative","monosyllabic","pass","ae",5514,3.7415,0.586521140939597,770.38533,1349.408227,625.198,1320.584
"M1995","M","Y",1995,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","not_stop","not_nasal","lateral","not_fricative","sonorant","alveolar","lateral","disyllabic","valley","ae",1275,3.1059,-0.0490788590604025,724.2674208,1282.775015,594.152,1263.43
"M1995","M","Y",1995,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","not_stop","not_nasal","not_lateral","fricative","obstruent","alveolar","fricative","monosyllabic","jazz","ae",608,2.7846,-0.370378859060402,745.4243758,1432.423361,608.352,1391.625
"M1995","M","Y",1995,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","stop","not_nasal","not_lateral","not_fricative","obstruent","alveolar","stop","monosyllabic","bad","ae",27804,4.4441,1.2891211409396,743.466959,1546.202847,607.029,1488.84
"M1995","M","Y",1995,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","stop","nasal","not_lateral","not_fricative","sonorant","alveolar","nasal","monosyllabic","pan","ae",627,2.798,-0.356978859060403,726.4808162,1652.554273,595.652,1579.912
"M1995","M","Y",1995,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiceless","stop","not_nasal","not_lateral","not_fricative","obstruent","alveolar","stop","monosyllabic","rat","ae",1663,3.2212,0.0662211409395974,662.3684196,1191.035514,552.434,1184.91
"M1995","M","Y",1995,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","not_stop","not_nasal","lateral","not_fricative","sonorant","alveolar","lateral","monosyllabic","sal","ae",400,2.6031,-0.551878859060403,701.0006548,1335.213874,578.453,1308.298
"M1992b","M","Y",1992,2,"not_alveolar","not_velar","not_bilabial","labiodental","voiceless","not_stop","not_nasal","not_lateral","fricative","obstruent","labiodental","fricative","monosyllabic","staff","ae",1632,3.213,0.0580211409395974,798.9148654,1385.669214,632.784,1385.483
"M1992b","M","Y",1992,2,"not_alveolar","velar","not_bilabial","not_labiodental","voiceless","stop","not_nasal","not_lateral","not_fricative","obstruent","velar","stop","monosyllabic","stack","ae",311,2.4942,-0.660778859060402,796.3618565,1442.194818,631.108,1427.68
"M1992b","M","Y",1992,2,"not_alveolar","not_velar","bilabial","not_labiodental","voiced","stop","nasal","not_lateral","not_fricative","sonorant","bilabial","nasal","monosyllabic","ham","ae",591,2.7723,-0.382678859060403,844.3880938,1648.065669,663.389,1581.515
"M1992b","M","Y",1992,2,"not_alveolar","not_velar","bilabial","not_labiodental","voiced","stop","not_nasal","not_lateral","not_fricative","obstruent","bilabial","stop","monosyllabic","lab","ae",2020,3.3056,0.150621140939597,819.273438,1415.276576,646.543,1407.65
"M1992b","M","Y",1992,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiceless","not_stop","not_nasal","not_lateral","fricative","obstruent","alveolar","fricative","monosyllabic","pass","ae",5514,3.7415,0.586521140939597,796.6738517,1417.693149,631.284,1409.252
"M1992b","M","Y",1992,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","not_stop","not_nasal","lateral","not_fricative","sonorant","alveolar","lateral","disyllabic","valley","ae",1275,3.1059,-0.0490788590604025,665.1597724,1365.54805,542.732,1370.259
"M1992b","M","Y",1992,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","not_stop","not_nasal","not_lateral","fricative","obstruent","alveolar","fricative","monosyllabic","jazz","ae",608,2.7846,-0.370378859060402,721.9092264,1507.78516,581.011,1476.822
"M1992b","M","Y",1992,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","stop","not_nasal","not_lateral","not_fricative","obstruent","alveolar","stop","monosyllabic","bad","ae",27804,4.4441,1.2891211409396,792.2429878,1523.196235,628.285,1488.306
"M1992b","M","Y",1992,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","stop","nasal","not_lateral","not_fricative","sonorant","alveolar","nasal","monosyllabic","pan","ae",627,2.798,-0.356978859060403,743.6122916,1494.600766,595.564,1466.94
"M1992b","M","Y",1992,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiceless","stop","not_nasal","not_lateral","not_fricative","obstruent","alveolar","stop","monosyllabic","rat","ae",1663,3.2212,0.0662211409395974,793.6006247,1428.940699,629.256,1417.799
"M1992b","M","Y",1992,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","not_stop","not_nasal","lateral","not_fricative","sonorant","alveolar","lateral","monosyllabic","sal","ae",400,2.6031,-0.551878859060403,760.0891912,1376.837598,606.677,1378.806
"M1992a","M","Y",1992,2,"not_alveolar","not_velar","not_bilabial","labiodental","voiceless","not_stop","not_nasal","not_lateral","fricative","obstruent","labiodental","fricative","monosyllabic","staff","ae",1632,3.213,0.0580211409395974,688.0935245,1311.837968,617.349,1337.409
"M1992a","M","Y",1992,2,"not_alveolar","velar","not_bilabial","not_labiodental","voiceless","stop","not_nasal","not_lateral","not_fricative","obstruent","velar","stop","monosyllabic","stack","ae",311,2.4942,-0.660778859060402,692.2448847,1308.875892,621.141,1335.006
"M1992a","M","Y",1992,2,"not_alveolar","not_velar","bilabial","not_labiodental","voiced","stop","nasal","not_lateral","not_fricative","sonorant","bilabial","nasal","monosyllabic","ham","ae",591,2.7723,-0.382678859060403,677.5451771,1435.094926,607.735,1438.096
"M1992a","M","Y",1992,2,"not_alveolar","not_velar","bilabial","not_labiodental","voiced","stop","not_nasal","not_lateral","not_fricative","obstruent","bilabial","stop","monosyllabic","lab","ae",2020,3.3056,0.150621140939597,653.7787845,1303,586.038,1330.198
"M1992a","M","Y",1992,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiceless","not_stop","not_nasal","not_lateral","fricative","obstruent","alveolar","fricative","monosyllabic","pass","ae",5514,3.7415,0.586521140939597,677.1126184,1278.603883,607.382,1310.435
"M1992a","M","Y",1992,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","not_stop","not_nasal","lateral","not_fricative","sonorant","alveolar","lateral","disyllabic","valley","ae",1275,3.1059,-0.0490788590604025,666.0335041,1256.691545,597.239,1292.541
"M1992a","M","Y",1992,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","not_stop","not_nasal","not_lateral","fricative","obstruent","alveolar","fricative","monosyllabic","jazz","ae",608,2.7846,-0.370378859060402,694.7669432,1341.683811,623.434,1361.713
"M1992a","M","Y",1992,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","stop","not_nasal","not_lateral","not_fricative","obstruent","alveolar","stop","monosyllabic","bad","ae",27804,4.4441,1.2891211409396,664.8784898,1291.509977,596.181,1320.851
"M1992a","M","Y",1992,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","stop","nasal","not_lateral","not_fricative","sonorant","alveolar","nasal","monosyllabic","pan","ae",627,2.798,-0.356978859060403,686.0091759,1357.708219,615.497,1374.8
"M1992a","M","Y",1992,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiceless","stop","not_nasal","not_lateral","not_fricative","obstruent","alveolar","stop","monosyllabic","rat","ae",1663,3.2212,0.0662211409395974,664.8470323,1321.668788,596.181,1345.422
"M1992a","M","Y",1992,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","not_stop","not_nasal","lateral","not_fricative","sonorant","alveolar","lateral","monosyllabic","sal","ae",400,2.6031,-0.551878859060403,672.2713081,1216.058556,602.972,1259.424
"M1991","M","Y",1991,2,"not_alveolar","not_velar","not_bilabial","labiodental","voiceless","not_stop","not_nasal","not_lateral","fricative","obstruent","labiodental","fricative","monosyllabic","staff","ae",1632,3.213,0.0580211409395974,804.042396,1371.542454,623.434,1373.731
"M1991","M","Y",1991,2,"not_alveolar","velar","not_bilabial","not_labiodental","voiceless","stop","not_nasal","not_lateral","not_fricative","obstruent","velar","stop","monosyllabic","stack","ae",311,2.4942,-0.660778859060402,732.9347398,1619.8776,579.864,1548.13
"M1991","M","Y",1991,2,"not_alveolar","not_velar","bilabial","not_labiodental","voiced","stop","nasal","not_lateral","not_fricative","sonorant","bilabial","nasal","monosyllabic","ham","ae",591,2.7723,-0.382678859060403,834.533103,1688.286249,642.133,1595.937
"M1991","M","Y",1991,2,"not_alveolar","not_velar","bilabial","not_labiodental","voiced","stop","not_nasal","not_lateral","not_fricative","obstruent","bilabial","stop","monosyllabic","lab","ae",2020,3.3056,0.150621140939597,776.6820408,1307.98954,606.677,1329.13
"M1991","M","Y",1991,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiceless","not_stop","not_nasal","not_lateral","fricative","obstruent","alveolar","fricative","monosyllabic","pass","ae",5514,3.7415,0.586521140939597,838.0274853,1300.816711,644.249,1324.056
