Age	Gender	Speaker	Vowel	Context	F1	F2
Y	M	M1995	ae	staff	667.534	1371.328
Y	M	M1995	ae	stack	661.713	1446.91
Y	M	M1995	ae	ham	556.491	1570.031
Y	M	M1995	ae	lab	640.016	1311.77
Y	M	M1995	ae	pass	625.198	1320.584
Y	M	M1995	ae	valley	594.152	1263.43
Y	M	M1995	ae	jazz	608.352	1391.625
Y	M	M1995	ae	bad	607.029	1488.84
Y	M	M1995	ae	pan	595.652	1579.912
Y	M	M1995	ae	rat	552.434	1184.91
Y	M	M1995	ae	sal	578.453	1308.298
Y	M	M1992b	ae	staff	632.784	1385.483
Y	M	M1992b	ae	stack	631.108	1427.68
Y	M	M1992b	ae	ham	663.389	1581.515
Y	M	M1992b	ae	lab	646.543	1407.65
Y	M	M1992b	ae	pass	631.284	1409.252
Y	M	M1992b	ae	valley	542.732	1370.259
Y	M	M1992b	ae	jazz	581.011	1476.822
Y	M	M1992b	ae	bad	628.285	1488.306
Y	M	M1992b	ae	pan	595.564	1466.94
Y	M	M1992b	ae	rat	629.256	1417.799
Y	M	M1992b	ae	sal	606.677	1378.806
Y	M	M1992a	ae	staff	617.349	1337.409
Y	M	M1992a	ae	stack	621.141	1335.006
Y	M	M1992a	ae	ham	607.735	1438.096
Y	M	M1992a	ae	lab	586.038	1330.198
Y	M	M1992a	ae	pass	607.382	1310.435
Y	M	M1992a	ae	valley	597.239	1292.541
Y	M	M1992a	ae	jazz	623.434	1361.713
Y	M	M1992a	ae	bad	596.181	1320.851
Y	M	M1992a	ae	pan	615.497	1374.8
Y	M	M1992a	ae	rat	596.181	1345.422
Y	M	M1992a	ae	sal	602.972	1259.424
Y	M	M1991	ae	staff	623.434	1373.731
Y	M	M1991	ae	stack	579.864	1548.13
Y	M	M1991	ae	ham	642.133	1595.937
Y	M	M1991	ae	lab	606.677	1329.13
Y	M	M1991	ae	pass	644.249	1324.056
Y	M	M1991	ae	valley	602.443	1334.739
Y	M	M1991	ae	jazz	590.624	1377.47
Y	M	M1991	ae	bad	625.551	1408.184
Y	M	M1991	ae	pan	615.232	1526.23
Y	M	M1991	ae	rat	675.825	1382.278
Y	M	M1991	ae	sal	650.423	1454.655
Y	M	M1989	ae	staff	612.057	1336.074
Y	M	M1989	ae	stack	605.795	1444.239
Y	M	M1989	ae	lab	602.355	1322.72
Y	M	M1989	ae	pass	619.289	1379.874
Y	M	M1989	ae	valley	577.747	1373.998
Y	M	M1989	ae	jazz	605.001	1387.352
Y	M	M1989	ae	bad	605.354	1431.953
Y	M	M1989	ae	pan	628.462	1580.446
Y	M	M1989	ae	rat	637.194	1433.289
Y	M	M1989	ae	sal	576.072	1439.966
Y	M	M1988	ae	staff	601.826	1425.277
Y	M	M1988	ae	stack	632.078	1532.64
Y	M	M1988	ae	ham	519.536	1601.011
Y	M	M1988	ae	lab	593.535	1411.122
Y	M	M1988	ae	pass	623.875	1432.488
Y	M	M1988	ae	valley	622.023	1350.763
Y	M	M1988	ae	jazz	579.335	1408.985
Y	M	M1988	ae	bad	596.093	1523.56
Y	M	M1988	ae	pan	517.419	1613.296
Y	M	M1988	ae	rat	640.81	1490.977
Y	M	M1988	ae	sal	650.071	1427.413
Y	M	M1987	ae	staff	602.972	1388.955
Y	M	M1987	ae	stack	602.443	1404.712
Y	M	M1987	ae	ham	647.689	1474.418
Y	M	M1987	ae	lab	604.824	1364.117
Y	M	M1987	ae	pass	579.423	1274.647
Y	M	M1987	ae	valley	566.899	1381.477
Y	M	M1987	ae	jazz	636.4	1462.934
Y	M	M1987	ae	bad	562.842	1414.06
Y	M	M1987	ae	pan	615.673	1508.337
Y	M	M1987	ae	rat	574.131	1380.942
Y	M	M1987	ae	sal	587.714	1377.203
O	M	M1961	ae	staff	589.301	1371.061
O	M	M1961	ae	stack	651.923	1446.91
O	M	M1961	ae	ham	586.567	1526.765
O	M	M1961	ae	lab	584.362	1421.271
O	M	M1961	ae	pass	601.826	1436.227
O	M	M1961	ae	valley	594.682	1391.892
O	M	M1961	ae	jazz	567.34	1443.705
O	M	M1961	ae	bad	558.785	1467.207
O	M	M1961	ae	pan	588.419	1535.578
O	M	M1961	ae	rat	642.838	1380.942
O	M	M1961	ae	sal	595.74	1432.221
O	M	M1960	ae	staff	661.977	1395.364
O	M	M1960	ae	stack	611.969	1424.208
O	M	M1960	ae	ham	580.393	1541.187
O	M	M1960	ae	lab	555.345	1462.934
O	M	M1960	ae	pass	614.174	1477.356
O	M	M1960	ae	valley	545.643	1332.335
O	M	M1960	ae	jazz	532.942	1497.386
O	M	M1960	ae	bad	517.507	1645.345
O	M	M1960	ae	pan	539.293	1812.266
O	M	M1960	ae	rat	603.237	1518.752
O	M	M1960	ae	sal	567.605	1330.465
O	M	M1957	ae	staff	605.442	1539.851
O	M	M1957	ae	stack	545.819	1496.318
O	M	M1957	ae	ham	570.78	1770.336
O	M	M1957	ae	lab	568.31	1527.566
O	M	M1957	ae	pass	622.993	1477.356
O	M	M1957	ae	valley	632.078	1406.047
O	M	M1957	ae	jazz	573.161	1597.806
O	M	M1957	ae	bad	546.878	1600.744
O	M	M1957	ae	pan	549.083	1688.344
O	M	M1957	ae	rat	721.6	1554.54
O	M	M1957	ae	sal	645.572	1560.149
O	M	M1953	ae	staff	665.417	1652.823
O	M	M1953	ae	stack	544.849	1502.728
O	M	M1953	ae	ham	572.808	1538.516
O	M	M1953	ae	lab	669.651	1376.402
O	M	M1953	ae	pass	619.73	1576.707
O	M	M1953	ae	valley	634.812	1353.701
O	M	M1953	ae	jazz	571.838	1374.8
O	M	M1953	ae	bad	612.233	1493.915
O	M	M1953	ae	pan	569.545	1572.434
O	M	M1953	ae	rat	635.165	1474.418
O	M	M1953	ae	sal	625.551	1387.619
O	M	M1949e	ae	staff	596.887	1610.092
O	M	M1949e	ae	stack	696.551	1633.594
O	M	M1949e	ae	ham	661.095	1702.499
O	M	M1949e	ae	lab	568.222	1348.626
O	M	M1949e	ae	pass	605.618	1372.93
O	M	M1949e	ae	valley	661.801	1457.593
O	M	M1949e	ae	jazz	626.521	1635.731
O	M	M1949e	ae	bad	590.889	1492.045
O	M	M1949e	ae	pan	567.164	1586.856
O	M	M1949e	ae	rat	691.789	1637.066
O	M	M1949d	ae	lab	569.545	1435.96
O	M	M1949d	ae	bad	609.234	1586.055
O	M	M1949d	ae	jazz	628.638	1542.255
O	M	M1949d	ae	pan	644.426	1670.984
O	M	M1949d	ae	ham	562.842	1647.482
O	M	M1949d	ae	valley	607.647	1397.768
O	M	M1949d	ae	sal	623.258	1531.839
O	M	M1949d	ae	stack	615.497	1548.398
O	M	M1949d	ae	rat	635.606	1605.551
O	M	M1949d	ae	staff	623.787	1415.395
O	M	M1949d	ae	pass	603.766	1484.567
O	M	M1949c	ae	staff	614.526	1510.473
O	M	M1949c	ae	stack	605.265	1497.386
O	M	M1949c	ae	ham	587.626	1535.845
O	M	M1949c	ae	lab	596.975	1361.179
O	M	M1949c	ae	pass	647.425	1463.735
O	M	M1949c	ae	valley	625.992	1435.158
O	M	M1949c	ae	jazz	611.528	1490.977
O	M	M1949c	ae	bad	594.858	1476.288
O	M	M1949c	ae	pan	595.211	1633.06
O	M	M1949c	ae	rat	670.621	1500.858
O	M	M1949c	ae	sal	525.534	1443.171
O	M	M1949b	ae	staff	634.548	1470.946
O	M	M1949b	ae	stack	690.818	1539.05
O	M	M1949b	ae	ham	555.433	1449.847
O	M	M1949b	ae	lab	634.371	1532.106
O	M	M1949b	ae	pass	555.698	1458.394
O	M	M1949b	ae	valley	545.378	1353.167
O	M	M1949b	ae	jazz	585.421	1550
O	M	M1949b	ae	bad	578.718	1538.783
O	M	M1949b	ae	pan	577.483	1743.361
O	M	M1949b	ae	rat	608	1533.174
O	M	M1949b	ae	sal	607.735	1421.805
O	M	M1949a	ae	staff	585.685	1545.727
O	M	M1949a	ae	stack	598.386	1518.218
O	M	M1949a	ae	ham	584.715	1465.605
O	M	M1949a	ae	lab	593.359	1451.984
O	M	M1949a	ae	pass	572.632	1390.824
O	M	M1949a	ae	valley	598.474	1494.983
O	M	M1949a	ae	jazz	518.389	1617.57
O	M	M1949a	ae	bad	586.479	1463.735
O	M	M1949a	ae	pan	560.108	1530.504
O	M	M1949a	ae	rat	593.447	1469.611
O	M	M1949a	ae	sal	590.801	1373.998
O	M	M1943	ae	staff	581.187	1447.177
O	M	M1943	ae	stack	582.157	1520.889
O	M	M1943	ae	ham	552.699	1587.657
O	M	M1943	ae	lab	552.17	1490.176
O	M	M1943	ae	pass	588.155	1483.499
O	M	M1943	ae	valley	577.13	1382.011
O	M	M1943	ae	jazz	563.283	1467.474
O	M	M1943	ae	bad	553.757	1485.635
O	M	M1943	ae	pan	540.175	1587.924
