Age	Gender	Speaker	Vowel	Context	F1	F2
Y	M	M1995	e	bet	548.201	1672.32
Y	M	M1995	e	bed	516.096	1629.321
Y	M	M1995	e	pen	512.392	1686.475
Y	M	M1995	e	says	535.941	1592.732
Y	M	M1995	e	sell	554.551	1320.584
Y	M	M1995	e	neck	561.695	1565.757
Y	M	M1995	e	belly	524.74	1308.833
Y	M	M1995	e	stef	583.128	1521.957
Y	M	M1995	e	beg	506.835	1722.797
Y	M	M1995	e	jess	573.161	1523.827
Y	M	M1995	e	gem	526.592	1554.006
Y	M	M1992b	e	bet	538.499	1714.517
Y	M	M1992b	e	bed	516.185	1655.494
Y	M	M1992b	e	pen	570.956	1670.183
Y	M	M1992b	e	says	502.425	1593.8
Y	M	M1992b	e	sell	534.089	1450.916
Y	M	M1992b	e	neck	548.906	1610.359
Y	M	M1992b	e	belly	483.815	1469.344
Y	M	M1992b	e	stef	566.899	1556.143
Y	M	M1992b	e	beg	513.539	1702.232
Y	M	M1992b	e	jess	521.917	1470.412
Y	M	M1992b	e	gem	499.691	1572.701
Y	M	M1992a	e	bet	542.997	1420.736
Y	M	M1992a	e	bed	516.361	1449.847
Y	M	M1992a	e	pen	572.985	1467.207
Y	M	M1992a	e	says	520.771	1463.735
Y	M	M1992a	e	sell	541.321	1316.578
Y	M	M1992a	e	neck	565.047	1502.194
Y	M	M1992a	e	belly	491.401	1325.925
Y	M	M1992a	e	stef	555.609	1407.116
Y	M	M1992a	e	beg	444.214	1565.49
Y	M	M1992a	e	jess	528.885	1385.483
Y	M	M1992a	e	gem	583.745	1387.352
Y	M	M1991	e	bet	541.498	1632.259
Y	M	M1991	e	bed	501.896	1646.414
Y	M	M1991	e	pen	489.725	1807.726
Y	M	M1991	e	says	510.011	1654.96
Y	M	M1991	e	sell	535.853	1602.881
Y	M	M1991	e	neck	573.249	1724.399
Y	M	M1991	e	belly	534.794	1476.555
Y	M	M1991	e	stef	543.614	1658.966
Y	M	M1991	e	beg	540.792	1645.078
Y	M	M1991	e	jess	564.518	1572.167
Y	M	M1991	e	gem	508.335	1627.451
Y	M	M1989	e	bet	549.083	1581.515
Y	M	M1989	e	bed	544.585	1528.1
Y	M	M1989	e	pen	555.257	1796.509
Y	M	M1989	e	says	504.895	1550.534
Y	M	M1989	e	sell	495.987	1500.858
Y	M	M1989	e	neck	547.319	1664.575
Y	M	M1989	e	belly	505.071	1526.765
Y	M	M1989	e	stef	533.207	1552.938
Y	M	M1989	e	beg	527.827	1592.999
Y	M	M1989	e	jess	565.929	1468.81
Y	M	M1989	e	gem	557.197	1535.845
Y	M	M1988	e	bet	527.827	1652.289
Y	M	M1988	e	bed	494.929	1596.471
Y	M	M1988	e	pen	495.546	1692.617
Y	M	M1988	e	says	486.285	1566.826
Y	M	M1988	e	sell	527.474	1467.741
