speaker,vowel/frame,context,F1,F2
M1995,ae,staff,833.3032309,1408.905803
M1995,ae,stack,824.6459467,1497.102852
M1995,ae,ham,668.3648491,1640.915133
M1995,ae,lab,792.3658969,1339.153907
M1995,ae,pass,770.38533,1349.408227
M1995,ae,valley,724.2674208,1282.775015
M1995,ae,jazz,745.4243758,1432.423361
M1995,ae,bad,743.466959,1546.202847
M1995,ae,pan,726.4808162,1652.554273
M1995,ae,rat,662.3684196,1191.035514
M1995,ae,sal,701.0006548,1335.213874
M1995,AI,buy,679.058285,1272.7641
M1995,AI,mike,666.6003244,1342.623571
M1995,AI,mike,677.7428342,1726.950207
M1995,e,bet,656.123517,1760.711071
M1995,e,bed,608.4373173,1710.441087
M1995,e,pen,602.9600661,1777.164172
M1995,e,says,637.9325877,1667.629574
M1995,e,sell,665.5249759,1349.594963
M1995,e,neck,676.0690431,1636.001404
M1995,e,belly,621.2466264,1335.898934
M1995,e,stef,707.9149129,1584.825806
M1995,e,beg,594.6564056,1819.474688
M1995,e,jess,693.0955763,1586.959922
M1995,e,gem,623.9948849,1622.42671
M1995,EI,make,476.8023414,1919.401552
M1995,EI,make,454.1872112,1897.012198
M1995,EI,game,428.2097799,2085.821385
M1995,EI,play,503.5776245,1866.104451
M1995,I,bit,502.7570473,1742.71487
M1995,II,sleep,363.8187239,2012.849655
M1995,II,believe,360.1877142,2054.56919
M1995,II,easy,332.1029109,2066.48745
M1995,II,keeps,323.9280158,2153.308211
M1995,II,clean,398.7859577,1923.837317
M1995,II,treat,369.8388817,1822.706212
M1995,o,mall,623.8282716,1000.221648
M1995,o,loss,682.9760148,1078.696969
M1995,o,knob,707.2392507,1158.774382
M1995,o,sock,695.9487422,1194.966918
M1995,o,cause,757.6995577,1197.074178
M1995,o,nod,677.7798603,1244.08635
M1995,o,gone,671.0330568,1220.629005
M1995,o,soft,659.9408915,1143.437071
M1995,o,mom,585.0318746,1161.169275
M1995,o,lot,622.6625427,993.3820283
M1995,OR,door,454.5032525,1132.131376
M1995,OR,george,452.0680654,1157.72149
M1995,OR,pour,489.262465,932.5146765
