Age	Gender	Speaker	Vowel	Context	F1	F2
Y	M	M1995	o	mall	526.504	1021.728
Y	M	M1995	o	loss	566.282	1088.764
Y	M	M1995	o	knob	582.687	1157.402
Y	M	M1995	o	sock	575.013	1188.382
Y	M	M1995	o	cause	616.643	1189.985
Y	M	M1995	o	nod	562.842	1230.313
Y	M	M1995	o	gone	558.255	1210.282
Y	M	M1995	o	soft	550.759	1144.315
Y	M	M1995	o	mom	500.309	1159.271
Y	M	M1995	o	lot	525.71	1015.853
Y	M	M1992b	o	mall	494.664	979.264
Y	M	M1992b	o	loss	528.18	1082.888
Y	M	M1992b	o	knob	595.211	1107.459
Y	M	M1992b	o	sock	607.911	1141.911
Y	M	M1992b	o	cause	557.021	1101.583
Y	M	M1992b	o	nod	547.672	1076.211
Y	M	M1992b	o	(not)	547.319	1200.401
Y	M	M1992b	o	gone	534.706	1113.869
Y	M	M1992b	o	soft	540.439	1087.963
Y	M	M1992b	o	mom	556.139	1075.944
Y	M	M1992b	o	lot	488.843	991.816
Y	M	M1992a	o	mall	539.557	1052.976
Y	M	M1992a	o	loss	561.078	1075.677
Y	M	M1992a	o	knob	570.868	1199.866
Y	M	M1992a	o	sock	589.478	1203.071
Y	M	M1992a	o	cause	542.732	1195.326
Y	M	M1992a	o	nod	591.595	1232.717
Y	M	M1992a	o	gone	561.695	1212.419
Y	M	M1992a	o	soft	567.516	1202.003
Y	M	M1992a	o	mom	580.923	1214.288
Y	M	M1992a	o	lot	551.2	1135.502
Y	M	M1991	o	mall	512.127	999.561
Y	M	M1991	o	loss	518.919	1130.427
Y	M	M1991	o	knob	551.552	1197.997
Y	M	M1991	o	sock	546.966	1168.085
Y	M	M1991	o	cause	515.567	1129.092
Y	M	M1991	o	nod	559.843	1170.488
Y	M	M1991	o	holly	518.301	1030.809
Y	M	M1991	o	gone	484.168	1123.216
Y	M	M1991	o	soft	526.416	1185.712
Y	M	M1991	o	mom	565.311	1108.527
Y	M	M1991	o	lot	507.012	1089.565
Y	M	M1989	o	mall	541.498	1013.983
Y	M	M1989	o	loss	551.729	1057.783
Y	M	M1989	o	knob	549.347	1095.441
Y	M	M1989	o	sock	562.842	1186.513
Y	M	M1989	o	cause	555.08	1057.783
Y	M	M1989	o	nod	567.957	1216.425
Y	M	M1989	o	holly	536.47	1003.834
Y	M	M1989	o	gone	587.273	1139.241
Y	M	M1989	o	soft	548.642	1092.236
Y	M	M1989	o	mom	573.337	1037.753
Y	M	M1989	o	lot	564.782	1076.478
Y	M	M1988	o	mall	563.371	1070.87
Y	M	M1988	o	loss	563.283	1106.391
Y	M	M1988	o	knob	615.497	1132.831
Y	M	M1988	o	sock	579.247	1168.085
Y	M	M1988	o	cause	564.87	1126.421
Y	M	M1988	o	nod	556.58	1153.129
Y	M	M1988	o	holly	538.058	1095.441
Y	M	M1988	o	gone	572.103	1085.559
Y	M	M1988	o	soft	572.279	1154.731
Y	M	M1988	o	mom	564.87	1071.404
Y	M	M1988	o	lot	577.836	1092.236
Y	M	M1987	o	mall	640.016	953.09
Y	M	M1987	o	loss	559.931	1058.585
Y	M	M1987	o	knob	612.851	1119.21
Y	M	M1987	o	sock	558.873	1156.601
Y	M	M1987	o	cause	583.216	1107.459
Y	M	M1987	o	nod	665.505	1043.895
Y	M	M1987	o	holly	505.424	1036.417
Y	M	M1987	o	gone	540.704	1042.026
Y	M	M1987	o	soft	574.749	1123.216
Y	M	M1987	o	mom	588.155	1046.833
Y	M	M1987	o	lot	537.705	1095.174
O	M	M1961	o	mall	576.16	1068.466
O	M	M1961	o	loss	546.084	1071.938
O	M	M1961	o	knob	596.71	1205.475
O	M	M1961	o	sock	599.268	1180.103
O	M	M1961	o	cause	605.795	1142.446
O	M	M1961	o	nod	598.827	1173.693
O	M	M1961	o	holly	567.869	1123.216
O	M	M1961	o	gone	563.812	1167.818
O	M	M1961	o	soft	592.124	1194.258
O	M	M1961	o	mom	646.895	1238.058
O	M	M1961	o	lot	562.489	1117.074
O	M	M1960	o	mall	577.042	1075.944
O	M	M1960	o	loss	583.392	1131.763
O	M	M1960	o	knob	599.885	1157.669
O	M	M1960	o	sock	567.693	1138.974
O	M	M1960	o	cause	551.111	1096.242
O	M	M1960	o	nod	614.438	1192.121
O	M	M1960	o	holly	525.269	985.673
O	M	M1960	o	gone	572.279	1134.7
O	M	M1960	o	soft	534.001	1099.981
O	M	M1960	o	calm	563.459	1119.744
O	M	M1960	o	lot	670.974	1156.066
O	M	M1957	o	mall	539.469	1019.592
O	M	M1957	o	loss	531.355	1232.449
O	M	M1957	o	knob	587.537	1166.215
O	M	M1957	o	sock	543.526	1064.193
O	M	M1957	o	cause	534.001	1116.005
O	M	M1957	o	nod	525.004	1170.488
O	M	M1957	o	holly	614.262	1171.023
O	M	M1957	o	gone	574.484	1146.986
O	M	M1957	o	soft	605.177	1176.898
O	M	M1957	o	mom	555.874	1180.637
O	M	M1957	o	lot	575.719	1228.71
O	M	M1953	o	mall	466.528	1022.262
O	M	M1953	o	loss	580.923	1157.135
O	M	M1953	o	knob	471.468	1113.869
O	M	M1953	o	sock	565.4	1168.352
O	M	M1953	o	nod	576.248	1173.96
O	M	M1953	o	holly	604.824	1105.857
O	M	M1953	o	gone	457.885	1148.855
O	M	M1953	o	soft	589.125	1171.824
O	M	M1953	o	mom	487.343	1189.718
O	M	M1953	o	lot	608.705	1218.829
O	M	M1949e	o	mall	509.04	941.339
O	M	M1949e	o	loss	546.966	1077.013
O	M	M1949e	o	knob	580.658	1168.619
O	M	M1949e	o	sock	582.775	1106.658
O	M	M1949e	o	cause	523.681	1132.297
O	M	M1949e	o	nod	580.834	1100.515
O	M	M1949e	o	holly	532.06	1060.454
O	M	M1949e	o	gone	493.782	1050.038
O	M	M1949e	o	soft	563.547	1141.644
O	M	M1949e	o	mom	566.458	1051.374
O	M	M1949e	o	lot	563.195	1194.792
O	M	M1949d	o	knob	522.711	1139.508
O	M	M1949d	o	nod	572.632	1176.364
O	M	M1949d	o	cause	530.12	1150.191
O	M	M1949d	o	gone	589.654	1122.949
O	M	M1949d	o	mom	535.588	1044.697
O	M	M1949d	o	holly	501.367	1080.752
O	M	M1949d	o	mall	539.998	1089.298
O	M	M1949d	o	sock	529.767	1169.153
O	M	M1949d	o	lot	550.582	1189.451
O	M	M1949d	o	loss	543.173	1119.744
O	M	M1949d	o	soft	539.734	1118.943
O	M	M1949c	o	mall	539.381	1052.442
O	M	M1949c	o	loss	562.313	1050.305
O	M	M1949c	o	knob	584.627	1193.724
O	M	M1949c	o	sock	613.027	1115.471
O	M	M1949c	o	cause	587.537	1153.93
O	M	M1949c	o	nod	633.313	1167.016
O	M	M1949c	o	holly	536.647	1065.795
