Stimulus	Response	Subject	Gender	Age	Outlier	u	ae	o	e	F1	F2	F1_u	F2_u	F1_o	F2_o	F1_e	F2_e	F1_ae	F2_ae
102	ae	F1937	F	O		0	1	0	0	950	1550	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
101	o	F1937	F	O		0	0	1	0	850	1400	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
100	u	F1937	F	O		1	0	0	0	750	1400	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
99	o	F1937	F	O		0	0	1	0	950	1400	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
98	ae	F1937	F	O		0	1	0	0	900	1850	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
97	u	F1937	F	O		1	0	0	0	750	1450	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
96	o	F1937	F	O	1	0	0	1	0	800	1250	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
95	o	F1937	F	O		0	0	1	0	900	1350	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
94	o	F1937	F	O		0	0	1	0	750	1200	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
93	u	F1937	F	O		1	0	0	0	700	1600	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
92	o	F1937	F	O		0	0	1	0	850	1450	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
91	u	F1937	F	O		1	0	0	0	800	1500	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
90	e	F1937	F	O		0	0	0	1	850	1900	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
89	u	F1937	F	O		1	0	0	0	700	1450	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
88	e	F1937	F	O		0	0	0	1	850	1700	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
87	ae	F1937	F	O		0	1	0	0	900	1500	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
86	o	F1937	F	O	1	0	0	1	0	950	1250	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
