Age	Gender	Speaker	Vowel	Context	F1	F2
Y	M	M1995	u	fuss	558.961	1266.635
Y	M	M1995	u	hug	551.729	1306.696
Y	M	M1995	u	rough	565.752	1318.981
Y	M	M1995	u	buzz	531.796	1398.836
Y	M	M1995	u	gull	516.096	1168.085
Y	M	M1995	u	mud	551.817	1329.664
Y	M	M1995	u	stuck	584.274	1286.932
Y	M	M1995	u	mutt	597.151	1279.721
Y	M	M1995	u	gully	493.076	1108.794
Y	M	M1995	u	run	542.203	1390.824
Y	M	M1995	u	gum	555.08	1304.559
Y	M	M1992b	u	fuss	533.119	1278.386
Y	M	M1992b	u	hug	554.463	1261.293
Y	M	M1992b	u	rough	569.721	1264.231
Y	M	M1992b	u	buzz	542.203	1238.592
Y	M	M1992b	u	gull	571.132	1257.02
Y	M	M1992b	u	mud	575.895	1310.435
Y	M	M1992b	u	stuck	548.377	1321.118
Y	M	M1992b	u	mutt	558.961	1201.469
Y	M	M1992b	u	gully	621.141	1328.329
Y	M	M1992b	u	run	529.679	1368.123
Y	M	M1992b	u	gum	527.915	1331.801
Y	M	M1992a	u	fuss	554.816	1274.647
Y	M	M1992a	u	hug	510.187	1363.316
Y	M	M1992a	u	rough	552.699	1312.572
Y	M	M1992a	u	buzz	489.901	1344.62
Y	M	M1992a	u	gull	470.85	1078.348
Y	M	M1992a	u	mud	548.024	1294.678
Y	M	M1992a	u	stuck	576.601	1304.025
Y	M	M1992a	u	mutt	579.688	1324.323
Y	M	M1992a	u	gully	476.848	1205.208
Y	M	M1992a	u	run	558.873	1301.354
Y	M	M1992a	u	gum	563.636	1349.962
Y	M	M1991	u	fuss	570.162	1297.081
Y	M	M1991	u	hug	572.367	1311.236
Y	M	M1991	u	rough	554.022	1268.237
Y	M	M1991	u	buzz	547.231	1214.288
Y	M	M1991	u	gull	471.82	1166.749
Y	M	M1991	u	mud	582.422	1317.913
Y	M	M1991	u	stuck	578.894	1297.081
Y	M	M1991	u	mutt	627.492	1318.18
Y	M	M1991	u	gully	490.078	1208.146
Y	M	M1991	u	run	581.275	1341.95
Y	M	M1991	u	gum	554.198	1250.61
Y	M	M1989	u	fuss	572.632	1263.43
Y	M	M1989	u	hug	551.464	1306.696
Y	M	M1989	u	rough	569.986	1230.847
Y	M	M1989	u	buzz	540.175	1241.263
Y	M	M1989	u	gull	551.288	1238.325
Y	M	M1989	u	mud	556.58	1321.652
Y	M	M1989	u	stuck	564.253	1329.397
Y	M	M1989	u	mutt	587.626	1325.925
Y	M	M1989	u	gully	541.233	1252.48
Y	M	M1989	u	run	574.484	1313.64
Y	M	M1989	u	gum	575.013	1316.043
Y	M	M1988	u	fuss	561.607	1263.43
Y	M	M1988	u	hug	560.725	1283.995
Y	M	M1988	u	rough	573.073	1237.257
Y	M	M1988	u	buzz	553.14	1235.654
Y	M	M1988	u	gull	553.934	1263.697
Y	M	M1988	u	mud	558.432	1288.001
Y	M	M1988	u	stuck	545.114	1301.087
Y	M	M1988	u	mutt	601.914	1222.568
Y	M	M1988	u	gully	528.973	1214.288
Y	M	M1988	u	run	585.685	1233.785
Y	M	M1988	u	gum	572.985	1247.673
Y	M	M1987	u	fuss	548.818	1327.795
Y	M	M1987	u	hug	521.3	1306.162
Y	M	M1987	u	rough	517.948	1317.646
Y	M	M1987	u	buzz	499.691	1246.07
Y	M	M1987	u	gull	509.217	1221.767
Y	M	M1987	u	mud	522.976	1366.253
Y	M	M1987	u	stuck	549.877	1338.478
Y	M	M1987	u	mutt	562.401	1259.157
Y	M	M1987	u	gully	487.432	1325.658
Y	M	M1987	u	run	559.931	1300.553
Y	M	M1987	u	gum	561.166	1343.819
O	M	M1961	u	fuss	618.407	1331
O	M	M1961	u	hug	524.74	1305.093
O	M	M1961	u	rough	545.643	1286.932
O	M	M1961	u	buzz	548.024	1273.846
O	M	M1961	u	gull	524.828	1128.291
O	M	M1961	u	mud	556.315	1307.23
O	M	M1961	u	stuck	549.083	1339.546
O	M	M1961	u	mutt	594.77	1337.142
O	M	M1961	u	gully	561.607	1171.023
O	M	M1961	u	run	573.778	1324.323
O	M	M1961	u	gum	566.105	1288.802
O	M	M1960	u	fuss	583.039	1301.889
O	M	M1960	u	hug	552.434	1238.058
O	M	M1960	u	rough	565.135	1285.597
O	M	M1960	u	buzz	583.392	1273.312
O	M	M1960	u	gull	485.138	1234.853
O	M	M1960	u	mud	572.72	1276.25
O	M	M1960	u	stuck	537.617	1296.013
O	M	M1960	u	mutt	574.925	1251.412
O	M	M1960	u	gully	525.975	1142.98
O	M	M1960	u	run	616.643	1347.558
O	M	M1960	u	gum	583.657	1329.664
O	M	M1957	u	fuss	545.467	1166.749
O	M	M1957	u	hug	523.505	1262.095
O	M	M1957	u	rough	531.972	1328.329
